City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,tromso,69.6496,18.957,-1.99,74,0,1.54,NO,1670360211
117,dunedin,-45.8742,170.5036,9.33,66,52,0.89,NZ,1670360208
118,sri aman,1.2376,111.4621,24.03,100,100,0.0,MY,1670360211
119,komsomolskiy,40.4272,71.7189,1.4,64,75,1.03,UZ,1670360211
120,port alfred,-33.5906,26.891,17.32,89,1,7.68,ZA,1670360055
121,chicama,-7.8447,-79.1469,21.3,62,75,4.84,PE,1670360212
122,malartic,48.1335,-78.1328,-6.94,93,100,2.96,CA,1670360028
123,woodway,31.506,-97.205,24.69,78,40,5.66,US,1670360054
124,emerald,-23.5333,148.1667,28.39,38,0,3.14,AU,1670360059
125,riyadh,24.6877,46.7219,23.08,36,6,4.7,SA,1670360097
126,khatanga,71.9667,102.5,-19.17,96,100,5.68,RU,1670360150
127,xifeng,42.7372,124.7222,-9.29,73,0,3.16,CN,1670360213
128,guerrero negro,27.9769,-114.0611,18.72,51,10,7.92,MX,1670360144
129,mahebourg,-20.4081,57.7,25.16,83,75,5.14,MU,1670360129
130,katsuura,35.1333,140.3,9.86,68,4,0.45,JP,1670360213
131,kushmurun,52.4503,64.6311,-21.84,99,54,2.48,KZ,1670360213
132,paamiut,61.994,-49.6678,-0.42,94,69,4.33,GL,1670360213
133,gat,31.61,34.7642,16.33,100,48,1.65,IL,1670360214
134,talnakh,69.4865,88.3972,-3.77,96,100,7.18,RU,1670360214
135,kruisfontein,-34.0033,24.7314,18.27,84,0,1.47,ZA,1670360214
136,longyearbyen,78.2186,15.6401,-14.09,61,20,6.69,SJ,1670360215
137,qaanaaq,77.484,-69.3632,-0.9,74,100,4.13,GL,1670360136
138,bonfim,3.0833,-59.95,28.38,70,90,2.65,BR,1670360215
139,kieta,-6.2167,155.6333,27.29,76,100,0.9,PG,1670360215
140,kapaa,22.0752,-159.319,27.18,84,75,5.14,US,1670360109
141,yellowknife,62.456,-114.3525,-31.36,68,20,2.06,CA,1670360138
142,san patricio,28.017,-97.5169,27.88,62,40,7.18,US,1670360216
143,fuling,29.7022,107.3919,9.37,74,99,0.78,CN,1670360216
144,souillac,-20.5167,57.5167,25.21,83,75,5.14,MU,1670360160
145,clyde river,70.4692,-68.5914,-15.87,92,75,1.03,CA,1670360217
146,coquimbo,-29.9533,-71.3436,19.85,68,20,5.66,CL,1670360110
147,midland,31.9974,-102.0779,22.05,59,75,3.6,US,1670360168
148,saint-joseph,-21.3667,55.6167,24.21,83,80,5.94,RE,1670360154
149,axim,4.8699,-2.2405,26.3,85,55,4.14,GH,1670360217
150,chulman,56.8479,124.9104,-24.29,95,100,2.29,RU,1670360152
151,keti bandar,24.1447,67.4497,22.19,28,0,3.78,PK,1670360114
152,pavlivka,49.4414,28.4596,-3.46,91,100,6.72,UA,1670360218
153,haines junction,60.7522,-137.5108,-18.03,78,98,0.51,CA,1670360218
154,alofi,-19.0595,-169.9187,27.94,74,40,3.6,NU,1670360218
